ID: CKI:CA, Name: Clarke Inc.
ID: CLX, Name: Clorox Company
ID: CNR:CA, Name: CN
ID: CNH, Name: CNH Industrial N.V.
ID: KO:EGX, Name: Coca Cola
ID: CCA:CA, Name: Cogeco Cable
ID: COIN:EGX, Name: Coinbase Global Inc.
ID: CIGI:CA, Name: Colliers International Group Inc.
ID: CMCSA:EGX, Name: Comcast
ID: ELP, Name: Companhia Paranaense de Energia
ID: COP:EGX, Name: ConocoPhillips
ID: CSU:CA, Name: Constellation Software Inc
ID: CTS:CA, Name: Converge Technology Solutions Corp.
ID: CSCI:CA, Name: COSCIENS Biopharma Inc.
ID: COST:EGX, Name: Costco Wholesale Corporation
ID: CVO:CA, Name: Coveo Solutions Inc.
ID: BAP, Name: Credicorp Ltd.
ID: CRTO:EGX, Name: Criteo S.A.
ID: CRE:CA, Name: Critical Element Corporation
ID: CRR.UN:CA, Name: Crombie REIT
ID: CVS, Name: CVS Health Corporation
ID: DHI, Name: D.R. Horton Inc.
ID: DHR, Name: Danaher Corporation
ID: DQ:EGX, Name: DAQO New Energy Corp. ADS
ID: DE:EGX, Name: Deere & Company
ID: DFY:CA, Name: Definity Financial Corporation
ID: DAL:EGX, Name: Delta Air Lines
ID: DNTL:CA, Name: dentalcorp Holdings Ltée
ID: DSG:CA, Name: Descartes Systems Group
ID: DCP:CA, Name: Desjardins FNB Indice actions privilégiées canadiennes
ID: DCG:CA, Name: Desjardins FNB Indice obligations canadiennes gouvernementales échelonnées 1-5 ans
ID: DB:EGX, Name: Deutsche Bank AG
ID: DRT:CA, Name: DIRTT Environmental Solutions Ltd.
ID: DIS:EGX, Name: Disney
ID: DMGI:CA, Name: DMG Blockchain Solutions Inc.
ID: DCBO:CA, Name: Docebo Inc.
ID: $AUDUSD, Name: Dollar australien
ID: DG, Name: Dollar General Corporation
ID: $USDCAD, Name: Dollar US
ID: DOL:CA, Name: Dollarama
ID: DBM:CA, Name: Doman Building Materials Group Ltd.
ID: DASH:EGX, Name: DoorDash Inc.
ID: DRM:CA, Name: DREAM Unlimited Corp., catégorie A
ID: DHT.UN:CA, Name: DRI Healthcare Trust
ID: DND:CA, Name: Dye & Durham Limited
ID: DNG:CA, Name: Dynacor Gold Mines Inc.
